
 
,,,,,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Win,Win,Win
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24
916,Colin Rea\reaco01,30,MIL,2,.000,-135,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
917,J.T. Realmuto\realmjt01,30,PHI,537,.347,111,.325,.176,3.2%,24.0%,8.9%,89.6,44.7%,23.2%,46.7%,24.4%,0.88,21.8%,56.2%,22.1%,1.5,0.4%,11.3
918,Josh Reddick\reddijo01,34,ARI,158,.297,79,.311,.113,1.3%,19.6%,3.8%,85.1,32.2%,28.1%,37.2%,25.6%,0.59,33.1%,49.6%,17.4%,-0.4,-0.1%,-2.8
919,Jake Reed\reedja02,28,TOT,1,.000,-128,.000,.000,0.0%,0.0%,0.0%,86.0,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.5
920,Jake Reed\reedja02,28,NYM,1,.000,-128,.000,.000,0.0%,0.0%,0.0%,86.0,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.5
921,Jakson Reetz\reetzja01,25,WSN,2,.622,314,.500,.500,0.0%,0.0%,0.0%,96.6,50.0%,50.0%,0.0%,50.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.2
922,Rob Refsnyder\refsnro01,30,MIN,157,.297,86,.327,.094,1.3%,25.5%,10.8%,89.2,41.0%,26.0%,43.0%,27.0%,0.75,31.0%,51.0%,18.0%,-0.9,0.1%,-6.1
923,Sean Reid-Foley\reidfse01,25,NYM,2,.696,365,,,0.0%,0.0%,100.0%,,,,,,,,,,0.1,0.0%,0.8
924,Zach Reks\reksza01,27,LAD,10,.090,-70,.000,.000,0.0%,70.0%,0.0%,93.6,33.3%,33.3%,33.3%,33.3%,0.50,0.0%,66.7%,33.3%,-0.2,-0.2%,-1.9
925,Anthony Rendon\rendoan01,31,LAA,249,.318,97,.267,.143,2.4%,16.5%,11.7%,89.1,38.8%,22.5%,31.5%,34.8%,0.46,29.8%,51.1%,19.1%,-0.6,-0.2%,-2.1
926,Hunter Renfroe\renfrhu01,29,BOS,572,.350,114,.284,.242,5.4%,22.7%,7.7%,90.1,44.6%,22.9%,38.5%,27.0%,0.63,30.3%,51.5%,18.2%,0.5,0.2%,13.5
927,Luis Rengifo\rengilu01,24,LAA,190,.248,46,.220,.109,3.2%,20.0%,4.7%,84.5,27.1%,19.1%,46.1%,24.1%,0.92,26.2%,55.3%,18.4%,-1.3,-0.4%,-12.7
928,Alex Reyes\reyesal02,26,STL,1,.000,-127,.000,.000,0.0%,0.0%,0.0%,96.7,100.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.1
929,Franmil Reyes\reyesfr01,25,CLE,466,.355,123,.314,.268,6.4%,32.0%,9.2%,92.0,49.3%,21.7%,46.3%,25.0%,0.86,27.6%,57.4%,15.1%,-0.3,0.4%,11.2
930,Pablo Reyes\reyespa01,27,MIL,87,.347,103,.306,.103,1.2%,17.2%,10.3%,87.1,36.5%,25.4%,36.5%,28.6%,0.58,36.5%,44.4%,19.0%,-0.6,-0.4%,-0.6
931,Victor Reyes\reyesvi01,26,DET,220,.315,96,.327,.158,2.3%,25.0%,3.6%,87.7,35.0%,28.0%,47.8%,19.1%,0.97,29.9%,49.0%,21.0%,-1.3,-0.6%,-0.5
932,Bryan Reynolds\reynobr01,26,PIT,646,.394,148,.345,.220,3.7%,18.4%,11.6%,89.3,41.0%,26.8%,39.6%,28.8%,0.66,31.7%,51.8%,16.5%,2.9,0.2%,43.3
933,Garrett Richards\richaga01,33,BOS,5,.246,40,.333,.200,0.0%,40.0%,0.0%,89.7,33.3%,33.3%,66.7%,0.0%,2.00,0.0%,100.0%,0.0%,0.0,0.0%,0.1
934,Trevor Richards\richatr01,28,TOT,1,.696,358,,,0.0%,0.0%,100.0%,,,,,,,,,,0.0,0.0%,0.2
935,Trevor Richards\richatr01,28,MIL,1,.696,358,,,0.0%,0.0%,100.0%,,,,,,,,,,0.0,0.0%,0.2
936,JT Riddle\riddljt01,29,MIN,6,.297,87,.333,.000,0.0%,0.0%,0.0%,84.8,33.3%,16.7%,83.3%,0.0%,5.00,50.0%,50.0%,0.0%,-0.1,0.0%,-0.4
937,Austin Riley\rileyau01,24,ATL,662,.386,134,.368,.227,5.0%,25.4%,7.9%,90.1,45.9%,28.6%,38.8%,24.9%,0.63,27.9%,55.6%,16.5%,1.0,0.8%,26.0
938,Edwin Rios\riosed01,27,LAD,60,.182,-5,.094,.059,1.7%,30.0%,11.7%,90.0,45.5%,12.1%,42.4%,39.4%,0.74,21.2%,63.6%,15.2%,-1.0,-0.8%,-10.8
939,Alfonso Rivas\rivasal01,24,CHC,49,.356,118,.481,.091,2.0%,32.7%,8.2%,88.4,32.1%,17.9%,50.0%,32.1%,1.00,25.0%,57.1%,17.9%,0.2,0.0%,-1.1
940,Webster Rivas\rivaswe01,30,SDP,77,.300,88,.260,.118,2.6%,20.8%,10.4%,84.8,32.1%,15.1%,54.7%,18.9%,1.32,20.8%,60.4%,18.9%,-0.8,-0.6%,-5.5
941,Emmanuel Rivera\riverem01,25,KCR,98,.303,80,.324,.078,1.0%,21.4%,8.2%,91.1,47.8%,29.0%,49.3%,17.4%,0.97,29.0%,58.0%,13.0%,-0.3,0.0%,-2.0
942,Rene Rivera\riverre01,37,TOT,78,.288,76,.368,.130,2.6%,37.2%,5.1%,84.9,39.5%,18.6%,46.5%,23.3%,1.00,23.3%,62.8%,14.0%,0.1,0.2%,-3.0
943,Rene Rivera\riverre01,37,CLE,63,.303,86,.379,.164,3.2%,38.1%,6.4%,84.9,44.1%,20.6%,38.2%,26.5%,0.72,23.5%,61.8%,14.7%,0.3,0.3%,0.3
944,Rene Rivera\riverre01,37,WSN,15,.228,35,.333,.000,0.0%,33.3%,0.0%,84.7,22.2%,11.1%,77.8%,11.1%,3.50,22.2%,66.7%,11.1%,-0.2,-0.1%,-3.3
945,Sebastian Rivero\riverse01,22,KCR,44,.221,26,.280,.050,0.0%,34.1%,6.8%,86.6,24.0%,16.0%,44.0%,32.0%,0.79,36.0%,44.0%,20.0%,0.2,0.1%,-4.0
946,Anthony Rizzo\rizzoan01,31,TOT,576,.350,116,.258,.192,3.8%,15.1%,9.0%,89.9,41.2%,23.9%,41.1%,27.1%,0.70,36.5%,49.8%,13.8%,1.0,0.9%,13.0
947,Anthony Rizzo\rizzoan01,31,CHC,376,.348,113,.261,.198,3.7%,15.7%,9.6%,91.1,43.6%,23.2%,42.3%,28.1%,0.73,37.8%,49.4%,12.7%,-0.1,-0.2%,5.4
948,Anthony Rizzo\rizzoan01,31,NYY,200,.354,121,.252,.179,4.0%,14.0%,8.0%,87.9,36.7%,25.2%,38.8%,25.2%,0.64,34.0%,50.3%,15.6%,1.1,1.1%,7.6
949,Luis Robert\roberlu01,23,CHW,296,.408,160,.394,.229,4.4%,20.6%,4.7%,91.2,45.5%,31.5%,37.5%,24.1%,0.60,31.5%,52.8%,15.7%,1.8,0.5%,21.1
950,Daniel Robertson\roberda10,27,MIL,90,.267,53,.227,.110,2.2%,31.1%,13.3%,81.6,23.4%,17.0%,42.6%,36.2%,0.77,17.0%,61.7%,21.3%,-0.2,-0.1%,-3.7
951,Victor Robles\roblevi01,24,WSN,369,.276,71,.271,.092,0.5%,23.0%,8.9%,80.5,27.2%,23.4%,33.6%,23.0%,0.58,35.7%,48.9%,15.3%,-1.7,-0.6%,-15.4
952,Jacob Robson\robsoja01,26,DET,7,.000,-124,.000,.000,0.0%,57.1%,0.0%,85.5,33.3%,0.0%,100.0%,0.0%,,33.3%,66.7%,0.0%,-0.1,0.0%,-1.4
953,Brendan Rodgers\rodgebr02,24,COL,415,.347,103,.328,.186,3.6%,20.2%,4.6%,88.8,40.6%,24.3%,50.8%,21.0%,1.03,22.3%,58.0%,19.7%,0.6,0.0%,4.3
954,Carlos Rodon\rodonca01,28,CHW,3,.000,-126,.000,.000,0.0%,33.3%,0.0%,77.1,0.0%,50.0%,50.0%,0.0%,1.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.6
955,Eduardo Rodriguez\rodried05,28,BOS,6,.000,-133,.000,.000,0.0%,50.0%,0.0%,72.4,33.3%,0.0%,33.3%,33.3%,1.00,0.0%,66.7%,33.3%,-0.2,-0.3%,-1.7
956,Jefry Rodriguez\rodrije01,27,WSN,2,.000,-127,.000,.000,0.0%,50.0%,0.0%,109.6,100.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.3
957,Manuel Rodríguez\rodrima01,24,CHC,1,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
958,Jake Rogers\rogerja03,26,DET,127,.339,114,.344,.257,4.7%,36.2%,8.7%,87.4,38.6%,27.1%,21.4%,34.3%,0.29,25.7%,47.1%,27.1%,0.1,-0.1%,1.5
959,Josh Rogers\rogerjo01,26,WSN,14,.054,-103,.000,.000,0.0%,28.6%,7.1%,64.8,0.0%,11.1%,55.6%,11.1%,2.50,22.2%,55.6%,22.2%,-0.3,0.0%,-2.9
960,Trevor Rogers\rogertr01,23,MIA,46,.095,-73,.188,.000,0.0%,58.7%,2.2%,72.1,11.1%,11.1%,61.1%,11.1%,2.75,22.2%,55.6%,22.2%,-0.6,-0.2%,-7.3
961,Jose Rojas\rojasjo02,28,LAA,184,.300,85,.259,.190,3.3%,27.2%,8.2%,89.8,44.1%,23.7%,34.7%,29.7%,0.55,32.2%,56.8%,11.0%,0.1,0.0%,-4.6
962,Josh Rojas\rojasjo01,27,ARI,550,.335,106,.345,.147,2.0%,24.9%,10.6%,87.9,31.1%,27.6%,49.0%,20.8%,0.97,27.4%,53.6%,19.1%,-0.4,-0.3%,1.2
963,Miguel Rojas\rojasmi02,32,MIA,539,.322,93,.295,.127,1.7%,13.7%,6.9%,86.0,32.9%,24.3%,45.2%,22.2%,0.83,25.1%,53.4%,21.5%,-0.1,0.1%,3.0
964,Sal Romano\romansa01,27,TOT,2,.000,-144,.000,.000,0.0%,50.0%,0.0%,41.6,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.5
965,Sal Romano\romansa01,27,TOT,2,.000,-144,.000,.000,0.0%,50.0%,0.0%,41.6,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.5
966,Sal Romano\romansa01,27,CIN,2,.000,-144,.000,.000,0.0%,50.0%,0.0%,41.6,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.5
967,Andrew Romine\rominan01,35,CHC,64,.228,33,.286,.083,1.6%,37.5%,6.3%,79.1,16.7%,27.8%,50.0%,19.4%,1.06,25.0%,61.1%,13.9%,-0.1,0.0%,-5.5
968,Austin Romine\rominau01,32,CHC,62,.238,35,.324,.083,1.6%,35.5%,3.2%,87.3,35.1%,18.4%,52.6%,23.7%,1.11,21.1%,52.6%,26.3%,-0.6,-0.1%,-5.5
969,Jose Rondon\rondojo02,27,STL,90,.323,99,.290,.150,3.3%,18.9%,8.9%,84.4,33.8%,26.2%,30.8%,26.2%,0.47,27.7%,58.5%,13.8%,-0.3,-0.4%,-2.6
970,Brent Rooker\rookebr01,26,MIN,213,.307,94,.264,.196,4.2%,32.9%,7.0%,91.0,48.7%,28.6%,37.0%,31.9%,0.59,34.5%,45.4%,20.2%,-0.8,-0.3%,-6.7
971,Ben Rortvedt\rortvbe01,23,MIN,98,.226,35,.211,.112,3.1%,29.6%,6.1%,82.8,29.0%,21.0%,38.7%,27.4%,0.67,24.2%,67.7%,8.1%,-0.5,-0.1%,-9.2
972,Amed Rosario\rosaram01,25,CLE,588,.324,98,.340,.127,1.9%,20.4%,5.3%,88.8,43.9%,25.1%,51.4%,18.9%,1.06,19.1%,61.1%,19.8%,-0.2,0.0%,0.4
973,Eddie Rosario\rosared01,29,TOT,412,.322,95,.273,.177,3.4%,14.8%,6.3%,88.0,36.0%,24.7%,37.7%,28.7%,0.61,35.5%,50.0%,14.5%,0.6,0.7%,9.0
974,Eddie Rosario\rosared01,29,CLE,306,.303,84,.280,.134,2.3%,15.4%,5.6%,87.9,35.6%,25.3%,39.8%,26.1%,0.68,32.8%,51.0%,16.2%,-0.1,-0.1%,5.1
975,Eddie Rosario\rosared01,29,ATL,106,.377,127,.250,.302,6.6%,13.2%,8.5%,88.2,37.3%,22.9%,31.3%,36.1%,0.46,43.4%,47.0%,9.6%,0.8,0.8%,3.9
976,Joe Ross\rossjo01,28,WSN,39,.280,67,.444,.000,0.0%,35.9%,2.6%,68.9,13.0%,21.7%,43.5%,8.7%,1.43,8.7%,60.9%,30.4%,-0.3,-0.1%,-3.0
977,Ramon Rosso\rossora01,25,PHI,1,,,,,0.0%,0.0%,0.0%,40.0,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2
978,Michael Rucker\ruckemi01,27,CHC,1,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
979,Darin Ruf\rufda01,34,SFG,312,.403,153,.344,.248,5.1%,27.9%,14.7%,93.0,54.9%,29.5%,43.8%,23.3%,0.78,29.0%,55.1%,15.9%,1.7,1.0%,16.6
980,Jose Ruiz\ruizjo01,26,CHW,1,.000,-126,.000,.000,0.0%,0.0%,0.0%,77.1,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.1
981,Keibert Ruiz\ruizke01,22,TOT,96,.334,109,.276,.136,3.1%,9.4%,6.3%,86.0,30.4%,21.5%,43.0%,24.1%,0.76,38.0%,53.2%,8.9%,0.0,-0.1%,1.3
982,Keibert Ruiz\ruizke01,22,LAD,7,.287,69,.000,.429,14.3%,71.4%,0.0%,100.2,50.0%,0.0%,50.0%,50.0%,1.00,100.0%,0.0%,0.0%,-0.1,-0.1%,-1.1
983,Keibert Ruiz\ruizke01,22,WSN,89,.338,113,.280,.111,2.3%,4.5%,6.7%,85.6,29.9%,22.1%,42.9%,23.4%,0.75,36.4%,54.5%,9.1%,0.1,0.0%,2.4
984,Rio Ruiz\ruizri01,27,TOT,141,.234,31,.209,.104,2.1%,27.0%,8.5%,86.4,26.7%,15.6%,51.1%,26.7%,1.07,25.6%,56.7%,17.8%,-1.1,-0.6%,-13.1
985,Rio Ruiz\ruizri01,27,BAL,101,.251,46,.207,.133,3.0%,28.7%,8.9%,86.1,24.2%,17.7%,43.5%,29.0%,0.79,22.6%,58.1%,19.4%,-1.0,-0.6%,-10.4
986,Rio Ruiz\ruizri01,27,COL,40,.193,-6,.214,.029,0.0%,22.5%,7.5%,87.1,32.1%,10.7%,67.9%,21.4%,2.11,32.1%,53.6%,14.3%,-0.1,0.0%,-2.7
987,Joe Ryan\ryanjo04,25,MIN,2,.000,-123,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.8
988,Kyle Ryan\ryanky01,29,CHC,2,.000,-134,.000,.000,0.0%,0.0%,0.0%,75.6,0.0%,0.0%,50.0%,0.0%,1.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.5
989,Hyun Jin Ryu\ryuhy01,34,TOR,4,.000,-130,.000,.000,0.0%,50.0%,0.0%,79.6,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,-0.1,-0.1%,-0.8
990,Chris Sale\salech01,32,BOS,1,.000,-133,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,-0.1%,-0.2
991,Adrian Sampson\sampsad01,29,CHC,11,.000,-268,,.000,0.0%,63.6%,0.0%,36.2,0.0%,0.0%,0.0%,0.0%,,0.0%,25.0%,75.0%,-0.1,0.0%,-1.3
992,Aaron Sanchez\sanchaa01,28,SFG,10,.000,-132,.000,.000,0.0%,70.0%,0.0%,72.5,0.0%,0.0%,66.7%,0.0%,2.00,0.0%,66.7%,33.3%,-0.2,-0.1%,-2.4
993,Adrian Sanchez\sanchad01,30,WSN,38,.272,65,.290,.057,0.0%,10.5%,7.9%,79.7,19.4%,19.4%,48.4%,16.1%,1.00,25.8%,61.3%,12.9%,-0.3,0.0%,-1.7
994,Ali Sanchez\sanchal04,24,STL,4,.622,314,.500,.500,0.0%,0.0%,0.0%,91.2,75.0%,75.0%,25.0%,0.0%,0.33,75.0%,25.0%,0.0%,0.0,0.0%,-0.3
995,Gary Sanchez\sanchga02,28,NYY,440,.315,95,.230,.219,5.2%,27.5%,11.8%,89.5,42.0%,20.6%,35.9%,31.7%,0.56,42.4%,43.9%,13.7%,-0.2,-0.3%,-6.4
996,Jesus Sanchez\sanchje02,23,MIA,251,.348,115,.316,.238,5.6%,31.1%,8.0%,90.2,42.7%,21.3%,46.7%,28.7%,0.88,31.3%,50.0%,18.7%,0.8,-0.1%,6.3
997,Miguel Sanchez\sanchmi01,27,MIL,1,.000,-135,.000,.000,0.0%,0.0%,0.0%,66.9,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.4
998,Pablo Sandoval\sandopa01,34,ATL,86,.293,68,.205,.164,4.7%,29.1%,12.8%,91.2,46.8%,27.1%,35.4%,27.1%,0.55,16.7%,66.7%,16.7%,0.8,0.4%,-1.3
999,Patrick Sandoval\sandopa02,24,LAA,4,.223,30,.500,.000,0.0%,50.0%,0.0%,89.8,50.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.1
1000,Reiver Sanmartin\sanmare01,25,CIN,6,.000,-144,.000,.000,0.0%,83.3%,0.0%,89.8,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-2.1
1001,Miguel Sano\sanomi01,28,MIN,532,.339,116,.291,.243,5.6%,34.4%,11.1%,93.4,56.1%,22.6%,39.2%,29.9%,0.65,33.1%,49.5%,17.4%,-1.7,-0.5%,-6.5
1002,Carlos Santana\santaca01,35,KCR,659,.299,80,.227,.127,2.9%,15.5%,13.1%,89.9,42.0%,19.2%,45.3%,26.5%,0.83,35.7%,53.6%,10.7%,-0.8,0.7%,-12.3
1003,Danny Santana\santada01,30,BOS,127,.271,58,.198,.164,3.9%,23.6%,7.9%,87.6,33.7%,12.8%,41.9%,34.9%,0.72,27.9%,48.8%,23.3%,-0.6,-0.5%,-0.7
1004,Dennis Santana\santade01,25,TOT,2,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
1005,Dennis Santana\santade01,25,LAD,2,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
1006,Edgar Santana\santaed01,29,ATL,1,.000,-140,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
1007,Anthony Santander\santaan02,26,BAL,438,.306,90,.275,.192,4.1%,23.1%,5.3%,90.5,43.7%,26.8%,34.8%,26.5%,0.54,32.3%,51.3%,16.5%,-2.8,-0.7%,-11.8
1008,Tony Santillan\santito01,24,CIN,8,.178,-35,.200,.143,0.0%,25.0%,0.0%,84.1,33.3%,33.3%,50.0%,0.0%,1.50,33.3%,50.0%,16.7%,-0.1,0.0%,-0.9
1009,Josh Sborz\sborzjo01,27,TEX,1,.000,-125,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
1010,Scott Schebler\schebsc01,30,LAA,34,.158,-15,.294,.088,0.0%,50.0%,0.0%,83.9,23.5%,23.5%,35.3%,23.5%,0.55,17.6%,58.8%,23.5%,-0.3,-0.2%,-5.3
1011,Max Scherzer\scherma01,36,TOT,63,.000,-141,.000,.000,0.0%,44.4%,0.0%,79.6,23.5%,8.6%,65.7%,14.3%,2.88,8.6%,71.4%,20.0%,-1.2,-0.6%,-17.1
1012,Max Scherzer\scherma01,36,WSN,37,.000,-140,.000,.000,0.0%,35.1%,0.0%,79.0,29.2%,8.3%,70.8%,8.3%,4.25,12.5%,66.7%,20.8%,-0.8,-0.4%,-11.2
1013,Max Scherzer\scherma01,36,LAD,26,.000,-144,.000,.000,0.0%,57.7%,0.0%,81.2,10.0%,9.1%,54.5%,27.3%,1.50,0.0%,81.8%,18.2%,-0.4,-0.3%,-5.9
1014,Clarke Schmidt\schmicl01,25,NYY,2,.346,117,,.000,0.0%,50.0%,50.0%,,,,,,,,,,0.0,0.0%,-0.1
1015,Jonathan Schoop\schoojo01,29,DET,674,.329,108,.317,.157,3.3%,19.7%,5.5%,88.1,40.2%,21.7%,48.4%,20.3%,0.94,27.8%,53.7%,18.5%,-0.9,-0.4%,4.2
1016,Max Schrock\schroma01,26,CIN,134,.349,105,.333,.160,2.2%,17.9%,6.0%,85.1,24.5%,31.4%,31.4%,28.4%,0.46,28.4%,50.0%,21.6%,0.0,-0.1%,3.1
1017,Kyle Schwarber\schwaky01,28,TOT,471,.404,157,.306,.288,6.8%,27.0%,13.6%,92.3,52.4%,20.8%,39.4%,33.6%,0.65,36.9%,48.9%,14.2%,2.7,1.8%,28.4
1018,Kyle Schwarber\schwaky01,28,WSN,303,.394,153,.273,.317,8.3%,29.0%,10.2%,92.2,52.0%,19.0%,41.9%,35.2%,0.72,35.8%,46.9%,17.3%,2.1,1.0%,15.9
1019,Kyle Schwarber\schwaky01,28,BOS,168,.421,164,.364,.231,4.2%,23.2%,19.6%,92.5,53.2%,24.2%,34.7%,30.5%,0.53,38.9%,52.6%,8.4%,0.5,0.8%,12.5
1020,Frank Schwindel\schwifr01,29,TOT,259,.410,158,.348,.264,5.4%,15.8%,6.2%,86.9,40.2%,22.4%,41.8%,26.9%,0.72,28.9%,52.7%,18.4%,2.4,0.0%,24.0
1021,Frank Schwindel\schwifr01,29,OAK,20,.290,84,.143,.200,5.0%,25.0%,0.0%,88.0,33.3%,13.3%,33.3%,40.0%,0.50,33.3%,33.3%,33.3%,0.0,0.0%,1.9
1022,Frank Schwindel\schwifr01,29,CHC,239,.421,164,.364,.270,5.4%,15.1%,6.7%,86.9,40.8%,23.1%,42.5%,25.8%,0.74,28.5%,54.3%,17.2%,2.4,0.0%,22.1
1023,Corey Seager\seageco01,27,LAD,409,.394,145,.336,.215,3.9%,16.1%,11.7%,91.0,49.3%,25.2%,46.6%,24.1%,0.87,28.6%,54.1%,17.2%,3.0,2.7%,30.8
1024,Kyle Seager\seageky01,33,SEA,670,.309,95,.226,.226,5.2%,24.0%,8.8%,88.7,40.1%,19.7%,32.7%,37.9%,0.49,32.5%,50.7%,16.8%,1.7,0.8%,15.3
1025,Jean Segura\segurje01,31,PHI,567,.350,115,.317,.146,2.5%,13.8%,6.9%,86.8,37.6%,22.7%,51.9%,19.3%,1.10,24.3%,54.4%,21.3%,0.9,0.2%,8.9
1026,Sam Selman\selmasa01,30,TOT,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1
1027,Sam Selman\selmasa01,30,SFG,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1
1028,Marcus Semien\semiema01,30,TOR,724,.370,128,.276,.273,6.2%,20.2%,9.1%,89.7,41.6%,23.2%,31.0%,36.7%,0.45,39.7%,47.9%,12.4%,1.4,0.8%,17.6
1029,Antonio Senzatela\senzaan01,26,COL,51,.046,-175,.100,.000,0.0%,37.3%,0.0%,55.8,9.4%,15.6%,28.1%,6.3%,1.13,6.3%,68.8%,25.0%,-1.0,-0.1%,-11.4
1030,Nick Senzel\senzeni01,26,CIN,124,.279,65,.284,.063,0.8%,12.9%,9.7%,88.9,39.6%,25.0%,45.8%,25.0%,0.85,26.0%,55.2%,18.8%,-0.2,-0.2%,-0.8
1031,Pedro Severino\severpe01,27,BAL,419,.306,89,.314,.135,2.6%,26.0%,8.1%,88.2,38.5%,28.0%,39.3%,20.4%,0.65,34.5%,51.3%,14.2%,-1.6,-0.1%,-10.3
1032,Travis Shaw\shawtr01,31,TOT,250,.295,74,.243,.173,3.6%,27.2%,9.6%,86.8,38.7%,24.5%,32.9%,29.0%,0.50,28.4%,56.1%,15.5%,0.1,0.0%,0.1
1033,Travis Shaw\shawtr01,31,MIL,202,.278,61,.230,.146,3.0%,25.3%,9.4%,87.0,38.8%,21.7%,35.7%,30.2%,0.57,27.1%,58.9%,14.0%,0.2,0.1%,-2.2
1034,Travis Shaw\shawtr01,31,BOS,48,.372,129,.318,.286,6.3%,35.4%,10.4%,85.8,38.5%,38.5%,19.2%,23.1%,0.25,34.6%,42.3%,23.1%,0.0,-0.1%,2.4
1035,Gavin Sheets\sheetga01,25,CHW,179,.360,128,.264,.256,6.2%,22.4%,8.9%,90.4,44.6%,19.8%,46.3%,24.0%,0.86,30.8%,49.2%,20.0%,0.0,-0.2%,8.3
1036,Justus Sheffield\sheffju01,25,SEA,2,.446,192,1.000,.000,0.0%,50.0%,0.0%,98.0,100.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.1
1037,James Sherfy\sherfji01,29,TOT,1,.000,-134,.000,.000,0.0%,0.0%,0.0%,70.6,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.2
1038,James Sherfy\sherfji01,29,LAD,1,.000,-134,.000,.000,0.0%,0.0%,0.0%,70.6,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.2
1039,Zack Short\shortza01,26,DET,184,.231,37,.165,.141,3.3%,32.1%,12.0%,87.5,33.0%,19.4%,27.2%,38.8%,0.37,32.0%,50.5%,17.5%,-1.4,-0.1%,-15.4
1040,Magneuris Sierra\sierrma01,25,MIA,225,.256,38,.302,.038,0.0%,22.2%,6.7%,81.2,18.9%,24.4%,48.8%,13.8%,1.00,25.0%,52.5%,22.5%,-1.3,-0.4%,-15.3
1041,Andrelton Simmons\simmoan01,31,MIN,451,.253,55,.256,.051,0.7%,13.8%,7.1%,82.9,21.8%,21.8%,53.4%,16.4%,1.21,27.7%,58.2%,14.1%,-3.1,-0.5%,-24.4
1042,Lucas Sims\simslu01,27,CIN,2,.000,-144,.000,.000,0.0%,50.0%,0.0%,54.6,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4
1043,Jose Siri\sirijo01,25,HOU,49,.399,152,.400,.304,8.2%,34.7%,2.0%,89.9,44.8%,27.6%,34.5%,31.0%,0.53,34.5%,58.6%,6.9%,0.4,0.1%,3.4
1044,Chance Sisco\siscoch01,26,TOT,83,.205,18,.208,.041,0.0%,25.3%,8.4%,81.7,9.6%,17.0%,49.1%,22.6%,1.04,30.2%,49.1%,20.8%,-1.1,-0.4%,-9.3
1045,Chance Sisco\siscoch01,26,BAL,73,.207,19,.213,.031,0.0%,24.7%,8.2%,81.6,8.5%,17.0%,48.9%,25.5%,1.05,25.5%,53.2%,21.3%,-0.9,-0.3%,-7.7
1046,Chance Sisco\siscoch01,26,NYM,10,.194,10,.167,.111,0.0%,30.0%,10.0%,82.3,20.0%,16.7%,50.0%,0.0%,1.00,66.7%,16.7%,16.7%,-0.2,-0.1%,-1.6
1047,Tarik Skubal\skubata01,24,DET,3,.000,-236,,.000,0.0%,66.7%,0.0%,25.1,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.9
